7 Apr 2024 20:36:49 GMT [INFO]  Init complete
7 Apr 2024 20:36:50 GMT [INFO]  jar:file:/C:/Projects/UNO/out/artifacts/UNO_jar/UNO_CLIENT.jar!/textures/texture.png
7 Apr 2024 20:36:50 GMT [INFO]  Loading texture
7 Apr 2024 20:36:50 GMT [INFO]  Loaded texture
7 Apr 2024 20:36:50 GMT [INFO]  Textures loaded
7 Apr 2024 20:37:22 GMT [INFO]  []
7 Apr 2024 20:37:25 GMT [INFO]  [CERZU]
7 Apr 2024 20:37:25 GMT [INFO]  Game start
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/RED/PLUS_4.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/RED/ZERO.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/GREEN/ZERO.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/BLUE/ZERO.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/YELLOW/ZERO.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/SPECIAL/PLUS_4.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/GREEN/FIVE.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/RED/REVERSE.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/GREEN/SIX.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/RED/NINE.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/YELLOW/REVERSE.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/RED/SIX.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/BLUE/FOUR.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/GREEN/EIGHT.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/GREEN/FIVE.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/RED/REVERSE.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/GREEN/SIX.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/RED/NINE.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/YELLOW/REVERSE.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/RED/SIX.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/BLUE/FOUR.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/GREEN/EIGHT.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/GREEN/FIVE.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/RED/REVERSE.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/GREEN/SIX.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/RED/NINE.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/YELLOW/REVERSE.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/RED/SIX.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/BLUE/FOUR.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/GREEN/EIGHT.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/GREEN/FIVE.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/RED/REVERSE.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/GREEN/SIX.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/RED/NINE.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/YELLOW/REVERSE.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/RED/SIX.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/BLUE/FOUR.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/GREEN/EIGHT.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/GREEN/FIVE.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/RED/REVERSE.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/GREEN/SIX.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/RED/NINE.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/YELLOW/REVERSE.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/RED/SIX.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/BLUE/FOUR.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/GREEN/EIGHT.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/GREEN/FIVE.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/RED/REVERSE.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/GREEN/SIX.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/RED/NINE.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/YELLOW/REVERSE.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/RED/SIX.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/BLUE/FOUR.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/GREEN/EIGHT.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/GREEN/FIVE.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/RED/REVERSE.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/GREEN/SIX.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/RED/NINE.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/YELLOW/REVERSE.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/RED/SIX.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/BLUE/FOUR.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/GREEN/EIGHT.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/GREEN/FIVE.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/RED/REVERSE.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/GREEN/SIX.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/RED/NINE.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/YELLOW/REVERSE.png
7 Apr 2024 20:37:25 GMT [INFO]  Couldnt read textures/RED/SIX.png
